current_density,temp_envi,lye_flow,lye_temp,voltage,power
2000,0.0,0.3,77.48,1.7562507725829466,4.587982660447276
2000,0.0,0.304,77.51,1.7563017732033295,4.592515104975447
2000,0.0,0.308,77.54,1.7563535199497806,4.597118661135489
2000,0.0,0.312,77.56,1.7564260268228797,4.602034115092976
2000,0.0,0.316,77.59,1.7564791461603544,4.606785322405957
2000,0.0,0.32,77.62,1.7565330125750358,4.611610950013651
2000,0.0,0.324,77.65,1.7565876263935813,4.616512100815756
2000,0.0,0.328,77.67,1.7566625197778676,4.621738039651348
2000,0.0,0.33199999999999996,77.7,1.7567185087561554,4.62679566479053
2000,0.0,0.33599999999999997,77.72,1.756794537272113,4.632184523866794
2000,0.0,0.33999999999999997,77.74,1.7568710737866102,4.63765755780257
2000,0.0,0.344,77.77,1.756929067633802,4.642959225883935
2000,0.0,0.348,77.79,1.7570067411578614,4.6486017974007545
2000,0.0,0.352,77.81,1.7570849235962918,4.65433185240736
2000,0.0,0.356,77.83,1.7571636152502037,4.66015049377209
2000,0.0,0.36,77.85,1.7572428164229217,4.666058824366516
2000,0.0,0.364,77.87,1.757322527419994,4.672057947065481
2000,0.0,0.368,77.89,1.7574027485492016,4.6781489647471
2000,0.0,0.372,77.91,1.7574834801205679,4.6843329802928055
2000,0.0,0.376,77.93,1.7575647224463653,4.690611096587344
2000,0.0,0.38,77.95,1.7576464758411277,4.696984416518825
2000,0.0,0.384,77.97,1.757728740621657,4.703454042978734
2000,0.0,0.388,77.99,1.757811517107035,4.710021078861939
2000,0.0,0.392,78.0,1.757912413165996,4.71696871595468
2000,0.0,0.396,78.02,1.7579960935469596,4.723735999483451
2000,0.0,0.4,78.04,1.7580802865715492,4.73060400108431
2000,0.0,0.404,78.05,1.758182239042848,4.737862273995885
2000,0.0,0.408,78.07,1.7582673377544809,4.744937140379175
2000,0.0,0.412,78.08,1.7583699557879706,4.752408724880302
2000,0.0,0.416,78.1,1.7584559613743065,4.759694867451502
2000,0.0,0.42,78.11,1.7585592459999706,4.767384174651143
2000,0.0,0.424,78.13,1.7586461596623963,4.774886004835116
2000,0.0,0.428,78.14,1.7587501119210733,4.782797445856744
2000,0.0,0.432,78.16,1.7588379348748169,4.790519375098027
2000,0.0,0.436,78.17,1.7589425558182983,4.798657361079873
2000,0.0,0.44,78.18,1.7590474512542285,4.8069113339759575
2000,0.0,0.444,78.2,1.759136579983672,4.814972742938245
2000,0.0,0.44799999999999995,78.21,1.7592421456552738,4.823459877440335
2000,0.0,0.45199999999999996,78.22,1.7593479865274506,4.832066307048667
2000,0.0,0.45599999999999996,78.23,1.7594541028212296,4.840793134463846
2000,0.0,0.45999999999999996,78.25,1.7595449364024678,4.849323329259449
2000,0.0,0.46399999999999997,78.26,1.7596517250031702,4.858292140462285
2000,0.0,0.46799999999999997,78.27,1.7597587897468574,4.867384657681333
2000,0.0,0.472,78.28,1.7598661308586014,4.876601983622433
2000,0.0,0.476,78.29,1.759973748564421,4.8859452209926495
2000,0.0,0.48,78.3,1.7600816430912878,4.895415472500284
2000,0.0,0.484,78.32,1.7601749822168054,4.904682990634133
2000,0.0,0.488,78.33,1.7602835521817997,4.91440845920867
2000,0.0,0.492,78.34,1.7603923997090716,4.924264250156363
2000,0.0,0.496,78.35,1.7605015250297456,4.934251466191016
2000,0.0,0.5,78.36,1.760610928375919,4.9443712100277075
2000,0.0,0.504,78.37,1.7607206099806683,4.9546245843828345
2000,0.0,0.508,78.38,1.76083057007805,4.965012691974081
2000,0.0,0.512,78.39,1.7609408089031078,4.9755366355204576
2000,0.0,0.516,78.4,1.761051326691876,4.986197517742303
2000,0.0,0.52,78.41,1.7611621236813817,4.996996441361292
2000,0.0,0.524,78.41,1.761286818954777,5.008286547990535
2000,0.0,0.528,78.42,1.7613980533900344,5.019366980856766
2000,0.0,0.532,78.43,1.7615095676854562,5.030588763185067
2000,0.0,0.536,78.44,1.7616213620817758,5.041952997702077
2000,0.0,0.54,78.45,1.7617334368207398,5.053460787135809
2000,0.0,0.544,78.46,1.7618457921451156,5.0651132342156915
2000,0.0,0.548,78.47,1.7619584282986938,5.076911441672556
2000,0.0,0.552,78.47,1.762084111681557,5.089223377573124
2000,0.0,0.556,78.48,1.7621971881425005,5.101318531484097
2000,0.0,0.56,78.49,1.7623105461103512,5.113562753861443
2000,0.0,0.5640000000000001,78.5,1.7624241858327152,5.125957147441232
2000,0.0,0.5680000000000001,78.51,1.762538107558242,5.138502814960987
2000,0.0,0.5720000000000001,78.51,1.7626644668593696,5.151578311579814
2000,0.0,0.5760000000000001,78.52,1.7627788309472676,5.164431952124756
2000,0.0,0.5800000000000001,78.53,1.7628934777291598,5.177440174716951
2000,0.0,0.5840000000000001,78.54,1.7630084074575896,5.190604082099354
2000,0.0,0.5880000000000001,78.54,1.763135285944722,5.2043106971094595
2000,0.0,0.592,78.55,1.763250659681497,5.217791398763083
2000,0.0,0.596,78.56,1.7633663170661515,5.231431093328707
2000,0.0,0.6,78.56,1.7634935559533989,5.245623153287466
2000,0.0,0.604,78.57,1.763609658564025,5.259586258019392
2000,0.0,0.608,78.58,1.7637260455316333,5.2737116637959
2000,0.0,0.612,78.58,1.763853646155822,5.288399091624435
2000,0.0,0.616,78.59,1.763970479579969,5.302854523480034
2000,0.0,0.62,78.6,1.7640875980780546,5.317475564523826
2000,0.0,0.624,78.6,1.7642155617893844,5.332668283161197
2000,0.0,0.628,78.61,1.7643331279876766,5.347625966214989
2000,0.0,0.632,78.62,1.7644509799848138,5.362752566611836
2000,0.0,0.636,78.62,1.7645793081470238,5.378460499015457
2000,0.0,0.64,78.63,1.764697609101297,5.393930357371729
2000,0.0,0.644,78.63,1.7648261398668983,5.409987983509066
2000,0.0,0.648,78.64,1.7649448905779102,5.4258055103835
2000,0.0,0.6519999999999999,78.64,1.7650736244664598,5.442217240291359
2000,0.0,0.6559999999999999,78.65,1.7651928257390435,5.458386846250021
2000,0.0,0.6599999999999999,78.66,1.7653123144881402,5.474733088541914
2000,0.0,0.6639999999999999,78.66,1.7654414159175507,5.491683185586153
2000,0.0,0.6679999999999999,78.67,1.7655613565155204,5.508388122954614
2000,0.0,0.6719999999999999,78.67,1.7656906624548176,5.5257033490188805
2000,0.0,0.6759999999999999,78.68,1.7658110557203341,5.542771392049658
2000,0.0,0.6799999999999999,78.68,1.7659405667008252,5.560456157187494
2000,0.0,0.6839999999999999,78.69,1.7660614134579415,5.5778917164740385
2000,0.0,0.688,78.69,1.7661911300142203,5.5959504307437715
2000,0.0,0.692,78.7,1.7663124310924072,5.613757916887332
2000,0.0,0.696,78.7,1.76644235376238,5.632194990352113
2000,0.0,0.7,78.71,1.7665641099965708,5.650378813961855
2000,0.4,0.3,77.43,1.75635265684745,4.5891493065806435
2000,0.4,0.304,77.46,1.7564030543954916,4.593692347039048
2000,0.4,0.308,77.49,1.7564541980507538,4.598306499157735
2000,0.4,0.312,77.52,1.7565060881250563,4.602992865810833
2000,0.4,0.316,77.55,1.7565587249343524,4.6077525498793515
2000,0.4,0.32,77.58,1.756612108798743,4.612586654251212
2000,0.4,0.324,77.6,1.7566858950282933,4.617742331310034
2000,0.4,0.328,77.63,1.7567406533074603,4.622730704119967
2000,0.4,0.33199999999999996,77.65,1.7568155738658944,4.628047095359088
2000,0.4,0.33599999999999997,77.68,1.7568717078517937,4.633194148215345
2000,0.4,0.33999999999999997,77.7,1.7569477639800088,4.638675665175949
2000,0.4,0.344,77.73,1.7570052749914018,4.643985809729623
2000,0.4,0.348,77.75,1.757082467953095,4.649636863988045
2000,0.4,0.352,77.77,1.7571601697215566,4.655375401549819
